,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature
173,0.552,0.826,5,-4.482,0,0.031,0.000217,0.00171,0.11,0.666,77.974,audio_features,4
174,0.456,0.803,2,-4.265,1,0.0786,0.000259,0.000368,0.291,0.333,186.15,audio_features,4
175,0.703,0.742,9,-5.542,1,0.0454,0.0509,0.000636,0.625,0.812,94.926,audio_features,4
176,0.614,0.233,5,-18.964,0,0.0568,0.827,0.198,0.13,0.448,126.256,audio_features,4
177,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,4
178,0.501,0.578,4,-9.892,0,0.025,0.0209,0.00267,0.101,0.452,99.535,audio_features,4
179,0.685,0.339,1,-10.072,0,0.033,0.0135,0.000861,0.0958,0.673,86.958,audio_features,4
180,0.693,0.835,0,-4.989,1,0.0316,0.133,0.375,0.433,0.951,130.068,audio_features,4
181,0.297,0.469,9,-10.424,0,0.0522,0.933,0.924,0.365,0.111,178.058,audio_features,3
182,0.228,0.326,11,-11.953,1,0.037,0.172,0.922,0.111,0.127,175.595,audio_features,4
183,0.784,0.554,7,-6.417,1,0.03,0.00548,0.254,0.0995,0.634,104.01,audio_features,4
184,0.476,0.525,11,-8.418,0,0.0825,0.151,0.00124,0.0853,0.313,104.973,audio_features,4
185,0.461,0.531,0,-11.854,0,0.0389,0.937,0.907,0.117,0.213,120.914,audio_features,4
186,0.441,0.319,5,-11.847,1,0.0302,0.544,0.918,0.11,0.216,94.513,audio_features,4
187,0.434,0.318,4,-13.471,0,0.0481,0.22,0.8,0.18,0.128,124.946,audio_features,4
188,0.455,0.5,7,-9.839,1,0.0362,0.524,0.851,0.108,0.512,100.031,audio_features,4
189,0.357,0.432,2,-13.7,1,0.0375,0.446,0.869,0.173,0.101,129.677,audio_features,4
190,0.328,0.49,9,-13.683,0,0.0308,0.768,0.836,0.186,0.244,155.448,audio_features,4
191,0.311,0.475,2,-13.78,1,0.0369,0.248,0.912,0.0851,0.147,132.197,audio_features,4
192,0.646,0.63,8,-10.748,0,0.0435,0.00462,0.27,0.122,0.164,109.018,audio_features,4
193,0.624,0.679,9,-11.886,0,0.0353,0.267,0.841,0.679,0.191,125.031,audio_features,4
194,0.565,0.726,0,-6.715,1,0.0548,0.00181,3.06e-06,0.103,0.715,178.078,audio_features,4
195,0.506,0.746,7,-7.385,0,0.0307,0.00183,0.0,0.109,0.299,130.996,audio_features,4
196,0.61,0.752,10,-5.062,0,0.0389,0.294,0.0755,0.116,0.832,89.995,audio_features,4
197,0.723,0.669,0,-6.784,1,0.0348,0.0522,0.183,0.109,0.349,125.053,audio_features,4
198,0.558,0.527,5,-8.573,1,0.0253,0.43,3.49e-05,0.139,0.616,176.891,audio_features,3
199,0.249,0.692,8,-7.441,0,0.0397,0.359,0.0311,0.0907,0.345,168.26,audio_features,4
200,0.591,0.662,6,-10.836,1,0.0303,0.514,0.919,0.112,0.279,93.018,audio_features,4
201,0.359,0.474,7,-7.642,0,0.0327,0.0635,3.2e-05,0.0952,0.124,118.623,audio_features,4
202,0.26,0.684,5,-9.513,1,0.039,0.0126,0.646,0.114,0.2,105.261,audio_features,4
203,0.416,0.722,5,-7.746,1,0.0379,0.00821,0.789,0.138,0.305,119.018,audio_features,4
204,0.474,0.789,5,-7.676,1,0.0314,0.0511,0.183,0.111,0.212,125.714,audio_features,4
205,0.673,0.541,0,-8.862,1,0.0263,0.000215,0.00135,0.0851,0.34,115.284,audio_features,4
206,0.403,0.611,5,-5.852,1,0.0323,0.308,0.0168,0.117,0.234,156.15,audio_features,4
207,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,audio_features,4
208,0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,audio_features,4
209,0.88,0.57,2,-13.145,1,0.0821,0.292,0.0388,0.0674,0.791,106.034,audio_features,4
210,0.31,0.428,10,-13.055,0,0.0305,0.781,0.922,0.0478,0.582,92.294,audio_features,4
211,0.204,0.472,6,-11.444,1,0.0298,0.431,0.939,0.114,0.0586,85.5,audio_features,5
212,0.715,0.725,8,-3.459,1,0.0609,0.328,0.000228,0.121,0.513,73.955,audio_features,4
213,0.692,0.827,5,-2.604,1,0.0331,0.136,0.000563,0.0761,0.628,84.931,audio_features,4
214,0.303,0.0141,10,-19.759,0,0.0418,0.948,0.0944,0.0792,0.157,171.439,audio_features,3
215,0.784,0.645,10,-7.325,0,0.402,0.00936,0.000132,0.117,0.59,109.978,audio_features,4
216,0.683,0.486,4,-9.726,0,0.11,0.822,0.0227,0.276,0.279,126.985,audio_features,4
217,0.415,0.878,1,-3.65,0,0.32,0.0564,0.00348,0.222,0.309,191.777,audio_features,4
218,0.689,0.463,2,-8.121,0,0.0365,0.066,0.000152,0.145,0.864,86.998,audio_features,4
219,0.858,0.426,10,-8.879,0,0.0402,0.00586,0.761,0.0986,0.419,89.981,audio_features,4
220,0.673,0.591,4,-5.224,0,0.0505,0.115,8.42e-05,0.242,0.725,93.46,audio_features,4
221,0.651,0.665,7,-5.807,0,0.101,0.119,0.0,0.153,0.673,101.83,audio_features,4
222,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,audio_features,4
223,0.652,0.671,8,-7.254,1,0.0446,0.492,0.0863,0.0873,0.249,91.518,audio_features,4
224,0.34,0.805,9,-3.223,0,0.163,0.00624,0.00381,0.101,0.622,84.322,audio_features,4
225,0.712,0.8,9,-5.068,0,0.0377,0.0747,0.185,0.0938,0.685,107.047,audio_features,4
226,0.773,0.579,8,-10.109,1,0.0862,0.297,0.00954,0.0607,0.555,170.04,audio_features,4
227,0.802,0.488,1,-9.304,1,0.0813,0.572,0.0598,0.0763,0.624,95.77,audio_features,4
228,0.686,0.611,11,-7.81,0,0.0712,0.113,0.0116,0.0406,0.932,73.946,audio_features,4
229,0.676,0.35,0,-13.425,1,0.0434,0.791,0.0721,0.111,0.261,112.852,audio_features,4
230,0.619,0.487,9,-7.773,0,0.0509,0.547,0.00076,0.158,0.491,156.102,audio_features,4
231,0.311,0.435,6,-11.322,0,0.034,0.918,0.91,0.0994,0.0396,122.308,audio_features,4
232,0.166,0.407,11,-12.888,0,0.037,0.915,0.928,0.0955,0.0364,94.36,audio_features,3
233,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,audio_features,4
234,0.698,0.514,0,-10.325,1,0.0663,0.148,0.0888,0.101,0.63,75.989,audio_features,4
